   Compiling ../../../src/bckups/filter_tb.cpp in debug mode
   Generating csim.exe
Length of the input stream 	0
Length of the input stream 	2300001
Coef. index # 508		(-3.27174e-06,-1.27014e-05)
Coef. index # 509		(-5.82812e-05,-7.93971e-05)
Coef. index # 510		(-4.79692e-05,-5.79376e-06)
Coef. index # 511		(-8.95653e-06,-5.32512e-05)
Coef. index # 512		(-7.97724e-05,-5.32512e-05)
Coef. index # 513		(-8.95653e-06,-5.79376e-06)
Coef. index # 514		(-4.79692e-05,-7.93971e-05)
Coef. index # 515		(-5.82812e-05,-1.27014e-05)
Coef. index # 516		(-3.27174e-06,-4.25354e-05)
Coef. index # 517		(-7.82781e-05,-6.29663e-05)
Coef. index # 518		(-1.69594e-05,-1.43843e-06)
Coef. index # 519		(-3.70494e-05,-7.64364e-05)
Coef. index # 520		(-6.72191e-05,-2.16505e-05)
Coef. index # 521		(-3.28291e-07,-3.16133e-05)
Coef. index # 522		(-7.39051e-05,-7.09603e-05)
Coef. index # 523		(-2.6687e-05,3.86499e-08)
Coef. index # 524		(-2.63294e-05,-7.07321e-05)
